,url,species,fewspp_group,multispp_group,n,MC_relevance_modifiers
1,https://doi.org/10.5061/dryad.0rxwdbs2c,Tamias striatus,Mammalia,NA,NA,L
2,https://doi.org/10.5061/dryad.121sk,Glyptemys insculpta,Reptilia,NA,NA,M
3,https://doi.org/10.5061/dryad.1771t,"raccoons, striped skunks",Mammalia,NA,NA,L
4,https://doi.org/10.5061/dryad.1c59zw3zf,white-tailed deer,Mammalia,NA,NA,L
5,https://doi.org/10.5061/dryad.1cc4v,Rangifer tarandus caribou,Mammalia,NA,NA,M
6,https://doi.org/10.5061/dryad.24q6q70,Rangifer tarandus caribou,Mammalia,NA,NA,H
7,https://doi.org/10.5061/dryad.24rj8,Aspicilia bicensis,Lichen,NA,NA,L
8,https://doi.org/10.5061/dryad.2b8f1,Salvelinus namaycush,Fish,NA,NA,H
9,https://doi.org/10.5061/dryad.2bvq83brd,"Tachycineta bicolor, Passer domesticus",Fish,NA,NA,M
10,https://doi.org/10.5061/dryad.2n5h6,black-legged tick,Insecta,NA,NA,M
11,https://doi.org/10.5061/dryad.2v6wwpzqx,black spruce: Picea mariana; jack pine: Pinus banksiana; Balsam fir: Abies balsamea; broadleaved: Betula papyrifera and Populus tremuloides,Gymnosperms,NA,NA,H
12,https://doi.org/10.5061/dryad.36634,Acer saccharum,Angiosperms,NA,NA,H
13,https://doi.org/10.5061/dryad.39jb0,Anguilla rostrata,Fish,NA,NA,H
14,https://doi.org/10.5061/dryad.3nh72,"Eastern coyote, eastern wolf",Mammalia,NA,NA,M
15,https://doi.org/10.5061/dryad.3xsj3txdp,64 plant species,NA,Plantae,64,H
16,https://doi.org/10.5061/dryad.4767v,"Rhododendron groenlandicum, Kalmia angustifolia, Chamaedaphne calyculata, Vaccinium spp",Angiosperms,NA,NA,H
17,https://doi.org/10.5061/dryad.4k275,Rangifer tarandus,Mammalia,NA,NA,H
18,https://doi.org/10.5061/dryad.4k739,Atlantic salmon,Fish,NA,NA,L
